,ID,SFTAZ,MODE,TOD2,YEAR,DIST,DISTNAME,AVG_RIDE,ROUTES,STOPS,TRIP_STOPS,TRIP_STOPS_DELIVERED,RAPID_SHARE,SERVMILES_S_DELIVERED,RUNSPEED,ONTIME5,BUS_TRIP_STOPS_COMPETING,HHLDS,POP,TOTALEMP,EMPRES,ACCESS_30,HHLDS_0_VEH_SHARE,BART_AVG_RIDE,CALTRAIN_AVG_RIDE,AVG_TNC,HHLDS_SMOOTH,POP_SMOOTH,TOTALEMP_SMOOTH,EMPRES_SMOOTH,HHLDS_0_VEH_SHARE_SMOOTH,BART_AVG_RIDE_SMOOTH,CALTRAIN_AVG_RIDE_SMOOTH,AVG_TNC_SMOOTH
161,11_BUS_0300-0859,11,BUS,0300-0859,2015,10,'Outer Mission',2.488431623,1,1,21,20.916,0,1.066716,9.32,0.561205937,87.95164273,298,1146,81,466,151171,0.198257081,0,0,2.39,339.7886757,1289.875976,96.89171402,529.4290653,0.166775349,0.133803345,0,3.125999347
163,11_BUS_0900-1559,11,BUS,0900-1559,2015,10,'Outer Mission',9.755317166,1,1,37,36.852,0,1.879452,7.59,0.531597527,144.8267076,298,1146,81,466,108625,0.198257081,0,0,3.165,339.7886757,1289.875976,96.89171402,529.4290653,0.166775349,0.334445373,0,5.337103088
165,11_BUS_1600-1859,11,BUS,1600-1859,2015,10,'Outer Mission',7.847364351,1,1,18,17.928,0,0.914328,6.63,0.382489177,68.35878415,298,1146,81,466,136426,0.198257081,0,0,3.3,339.7886757,1289.875976,96.89171402,529.4290653,0.166775349,0.818109593,0,4.594886432
167,11_BUS_1900-0259,11,BUS,1900-0259,2015,10,'Outer Mission',3.510371792,1,1,17,16.932,0,0.863532,7.71,0.460246565,80.03495265,298,1146,81,466,119282,0.198257081,0,0,8.815,339.7886757,1289.875976,96.89171402,529.4290653,0.166775349,0.447015182,0,12.32709636
177,12_BUS_0300-0859,12,BUS,0300-0859,2015,9,'Bayshore',77.07472449,4,6,148,147.408,0.581081081,13.766712,7.89,0.472557486,75.96126828,470,1580,67,418,341619,0.436004162,0,0,1.865,207.3280411,706.1293104,32.78548317,192.7554432,0.426531468,0,0,0.896862656
179,12_BUS_0900-1559,12,BUS,0900-1559,2015,9,'Bayshore',164.7927808,4,6,339,337.644,0.625368732,31.455672,8.73,0.495110569,163.6649813,470,1580,67,418,186931,0.436004162,0,0,4.87,207.3280411,706.1293104,32.78548317,192.7554432,0.426531468,0,0,1.914754456
181,12_BUS_1600-1859,12,BUS,1600-1859,2015,9,'Bayshore',84.6473036,4,6,164,163.344,0.634146341,15.0645,9.47,0.272924735,78.76435379,470,1580,67,418,194178,0.436004162,0,0,2.725,207.3280411,706.1293104,32.78548317,192.7554432,0.426531468,0,0,1.256155099
183,12_BUS_1900-0259,12,BUS,1900-0259,2015,9,'Bayshore',46.88538036,5,6,165,164.34,0.024242424,15.556524,13.37,0.300458151,82.86523754,470,1580,67,418,211195,0.436004162,0,0,5.72,207.3280411,706.1293104,32.78548317,192.7554432,0.426531468,0,0,2.511087131
193,13_BUS_0300-0859,13,BUS,0300-0859,2015,10,'Outer Mission',121.5798995,2,2,88,87.648,0.193181818,17.032596,11.88,0.610050791,33.58227886,376,1488,1845,702,270218,0.146969697,0,0,4.78,183.9073474,723.8951365,455.8859558,338.2479959,0.144864424,0,0,2.950570536
195,13_BUS_0900-1559,13,BUS,0900-1559,2015,10,'Outer Mission',353.9235877,3,2,159,158.364,0.327044025,37.4994,12.43,0.618472457,54.49619589,376,1488,1845,702,163770,0.146969697,0,0,8.81,183.9073474,723.8951365,455.8859558,338.2479959,0.144864424,0,0,4.723652623
197,13_BUS_1600-1859,13,BUS,1600-1859,2015,10,'Outer Mission',300.5514155,4,2,115,114.54,0.191304348,22.137096,11.04,0.620905393,37.33269884,376,1488,1845,702,166538,0.146969697,0,0,8.34,183.9073474,723.8951365,455.8859558,338.2479959,0.144864424,0,0,3.980809069
199,13_BUS_1900-0259,13,BUS,1900-0259,2015,10,'Outer Mission',82.05350562,2,2,89,88.644,0.011235955,11.933076,11.62,0.504304861,33.98719664,376,1488,1845,702,165497,0.146969697,0,0,16.72,183.9073474,723.8951365,455.8859558,338.2479959,0.144864424,0,0,8.775978784
209,14_BUS_0300-0859,14,BUS,0300-0859,2015,10,'Outer Mission',145.7429758,3,6,147,146.412,0,12.354384,10.67,0.727215602,62.52151547,340,1174,60,494,355458,0.082182774,0,0,6.835,133.9002478,476.0803725,33.02805039,199.6181885,0.101838639,0,0,2.051997536
211,14_BUS_0900-1559,14,BUS,0900-1559,2015,10,'Outer Mission',188.4897725,3,6,242,241.032,0,20.440908,11.23,0.762244879,105.0541788,340,1174,60,494,191968,0.082182774,0,0,8.67,133.9002478,476.0803725,33.02805039,199.6181885,0.101838639,0,0,2.848337415
213,14_BUS_1600-1859,14,BUS,1600-1859,2015,10,'Outer Mission',72.77605337,2,6,117,116.532,0,9.869364,11.25,0.755041644,50.12525983,340,1174,60,494,191712,0.082182774,0,0,6.74,133.9002478,476.0803725,33.02805039,199.6181885,0.101838639,0,0,2.218100002
215,14_BUS_1900-0259,14,BUS,1900-0259,2015,10,'Outer Mission',38.29977206,3,6,123,122.508,0,10.484892,12.96,0.731579134,53.40318237,340,1174,60,494,223548,0.082182774,0,0,15.905,133.9002478,476.0803725,33.02805039,199.6181885,0.101838639,0,0,5.32726555
225,15_BUS_0300-0859,15,BUS,0300-0859,2015,9,'Bayshore',247.5873864,4,8,180,179.28,0.222222222,33.99846,10.31,0.336209451,35.98822379,625,2426,235,1124,541461,0.239193084,0,0,4.875,142.3937495,550.8074866,49.9684291,249.8775119,0.21207398,0,0,1.204704778
227,15_BUS_0900-1559,15,BUS,0900-1559,2015,9,'Bayshore',764.2108613,6,8,427,425.292,0.24824356,106.09392,12.33,0.339491644,84.99818616,625,2426,235,1124,278522,0.239193084,0,0,10.405,142.3937495,550.8074866,49.9684291,249.8775119,0.21207398,0,0,2.423945736
229,15_BUS_1600-1859,15,BUS,1600-1859,2015,9,'Bayshore',591.2657747,6,8,221,220.116,0.199095023,152.988588,19.61,0.270106725,42.0507058,625,2426,235,1124,258916,0.239193084,0,0,7.185,142.3937495,550.8074866,49.9684291,249.8775119,0.21207398,0,0,1.715181322
231,15_BUS_1900-0259,15,BUS,1900-0259,2015,9,'Bayshore',189.3491281,6,8,212,211.152,0.009433962,25.683852,10.94,0.343852206,41.38377215,625,2426,235,1124,317674,0.239193084,0,0,16.845,142.3937495,550.8074866,49.9684291,249.8775119,0.21207398,0,0,3.925853197
241,16_BUS_0300-0859,16,BUS,0300-0859,2015,10,'Outer Mission',33.34131418,3,8,108,107.568,0,25.334256,11.31,0.598346001,7.236987577,952,2939,208,1280,290374,0.046194226,0,0,18.91,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,1.373439477
243,16_BUS_0900-1559,16,BUS,0900-1559,2015,10,'Outer Mission',72.08390852,3,8,226,225.096,0,52.909512,11.96,0.572247528,15.05335362,952,2939,208,1280,184094,0.046194226,0,0,34.82,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,2.512216363
245,16_BUS_1600-1859,16,BUS,1600-1859,2015,10,'Outer Mission',28.10342074,3,8,98,97.608,0,23.093256,9,0.588487058,6.527930853,952,2939,208,1280,219552,0.046194226,0,0,24.05,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,1.751452688
247,16_BUS_1900-0259,16,BUS,1900-0259,2015,10,'Outer Mission',13.52352516,3,8,128,127.488,0,29.816256,12.61,0.688937122,8.497170323,952,2939,208,1280,261742,0.046194226,0,0,76.91,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,5.544281609
249,16_RAIL_0300-0859,16,RAIL,0300-0859,2015,10,'Outer Mission',77.95253162,1,2,40,40,0,5.64,9.2,0,7.236987577,952,2939,208,1280,154077,0.046194226,0,0,18.91,70.12436114,216.9508294,14.96269035,94.45601452,0.049124314,0,0,1.373439477
